Account name,Account IBAN,Counteraccount IBAN,Transaction date,Amount,Currency,Detail
Jos,BE69771770897312,BE36572546035683,Tue Jan 28 22:27:29 CET 2020,1989.99,EUR,Nisi hic dolor odit.
Jos,BE69771770897312,BE81664542374263,Sat Feb 08 18:19:14 CET 2020,3789.35,EUR,Atque et aut et nostrum autem laborum nemo.
Jos,BE69771770897312,BE40715338659008,Sun Feb 09 08:43:59 CET 2020,1726.03,EUR,Placeat sed hic.
Jos,BE69771770897312,BE95791962029620,Sat Feb 08 22:11:15 CET 2020,3545.58,EUR,Rerum temporibus et eos expedita accusamus eaque ducimus.
Jos,BE69771770897312,BE41055991893592,Thu Feb 06 03:16:11 CET 2020,1560.96,EUR,Ut quae natus exercitationem qui veritatis.
Jos,BE69771770897312,BE08438133931102,Wed Feb 12 19:59:06 CET 2020,-3278.71,EUR,Possimus unde ipsum.
Jos,BE69771770897312,BE78710998156450,Sun Feb 16 20:42:22 CET 2020,4463.87,EUR,Voluptas asperiores delectus et.
Jos,BE69771770897312,BE60488383087128,Tue Feb 18 13:37:52 CET 2020,2891.15,EUR,Porro vero architecto.
Jos,BE69771770897312,BE34995965479116,Fri Feb 07 11:00:06 CET 2020,-2208.02,EUR,Delectus animi temporibus sit minus.
Jos,BE69771770897312,BE61584848319029,Tue Feb 18 08:23:06 CET 2020,3501.82,EUR,Reprehenderit totam odit quam ullam laudantium nobis.
Jos,BE69771770897312,BE65716389739500,Mon Feb 10 16:01:34 CET 2020,-4952.24,EUR,Qui voluptatem natus omnis molestiae rerum id.
Jos,BE69771770897312,BE40146920125648,Thu Feb 06 00:22:02 CET 2020,1121.78,EUR,Eos hic impedit eaque accusantium.
Jos,BE69771770897312,BE92501102994536,Sun Feb 16 00:02:18 CET 2020,2131.23,EUR,Enim in neque culpa reiciendis laborum.
Jos,BE69771770897312,BE19737226345927,Tue Feb 18 11:39:52 CET 2020,3064.03,EUR,Accusantium temporibus itaque illum inventore.
Jos,BE69771770897312,BE14345679614058,Fri Feb 07 09:10:52 CET 2020,-17.91,EUR,Et ut rerum architecto sint reprehenderit corrupti.
Jos,BE69771770897312,BE26071176986812,Sun Feb 16 11:59:45 CET 2020,-2973.23,EUR,Impedit nihil nesciunt commodi temporibus dolor necessitatibus.
